trans_period,DevelopmentRegion,RegionalDistrict,,tot_mkt_trans,no_resid_trans,no_resid_acreage_trans,resid_comm_count,no_resid_farm,no_resid_fam,no_res_1fam,no_resid_strata,no_resid_non_strata,no_resid_other,no_comm_tot,no_comm_comm,no_comm_strata_nores,no_comm_other,no_recr_tot,no_farm_tot,no_unkn_tot,sum_FMV,mn_FMV,md_FMV,sum_PPT_paid,md_PPT
2016-09-15,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,,16,16,1,,,,13,2,,,,,,,,,,3533400.00,220837.50,215000.00,36130.00,1842.50
2016-09-22,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,,46,45,2,,,,28,5,,10,1,1,,,,,,11644150.00,253133.70,239500.00,149151.00,2680.00
2016-10-01,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,,13,12,,,,,6,4,,2,,,,,,1,,2989450.00,229957.70,150000.00,41333.50,1500.00
2016-10-08,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,,16,16,1,1,,,9,2,,3,,,,,,,,3992900.00,249556.20,230000.00,51518.00,2600.00
2016-10-15,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,,19,18,,,,,16,,,2,1,1,,,,,,5213788.00,274409.90,265000.00,72450.76,3300.00
2016-10-22,Vancouver Island/Coast,POWELL RIVER-MOUNT WADDINGTON,,23,22,1,,1,,7,1,,12,1,,,1,,,,6908825.00,300383.70,256000.00,94332.25,3120.00
2016-06-01,Vancouver Island/Coast,STRATHCONA,,24,21,1,,,,17,3,,,1,,,1,2,,,7811350.00,325472.90,289500.00,110701.00,3790.00
2016-06-08,Vancouver Island/Coast,STRATHCONA,,16,15,1,,,1,12,1,,,1,1,,,,,,5367500.00,335468.80,252500.00,79015.00,3050.00
2016-06-15,Vancouver Island/Coast,STRATHCONA,,25,23,,,,,19,4,,,2,1,,1,,,,9292375.00,371695.00,337000.00,119724.00,3160.00
2016-06-22,Vancouver Island/Coast,STRATHCONA,,98,98,,,,,81,15,,2,,,,,,,,27060000.00,276122.40,272150.00,348045.50,3125.00
2016-07-01,Vancouver Island/Coast,STRATHCONA,,15,14,,,,,12,2,,,1,1,,,,,,10227100.00,681806.70,307000.00,215833.00,4140.00
2016-07-08,Vancouver Island/Coast,STRATHCONA,,26,26,1,,,,21,3,,1,,,,,,,,6950300.00,267319.20,252000.00,84851.99,2650.00
2016-07-15,Vancouver Island/Coast,STRATHCONA,,29,29,,,,,22,7,,,,,,,,,,8078550.00,278570.70,265000.00,103839.75,3280.00
2016-07-22,Vancouver Island/Coast,STRATHCONA,,70,69,,,,,58,7,,4,1,1,,,,,,22125800.00,316082.90,315000.00,276436.00,4100.00
2016-08-01,Vancouver Island/Coast,STRATHCONA,,40,39,1,,,,27,9,,2,1,1,,,,,,12093995.00,302349.90,268200.00,157544.90,2625.00
2016-08-08,Vancouver Island/Coast,STRATHCONA,,27,27,,,,,22,4,,1,,,,,,,,7609600.00,281837.00,315000.00,100273.00,3518.00
2016-08-15,Vancouver Island/Coast,STRATHCONA,,34,33,2,,,1,26,4,,,1,,,1,,,,11546000.00,339588.20,325750.00,153869.00,4010.00
2016-08-22,Vancouver Island/Coast,STRATHCONA,,64,62,4,1,,1,46,10,,,2,2,,,,,,20754460.00,324288.40,311000.00,275590.33,3830.00
2016-09-01,Vancouver Island/Coast,STRATHCONA,,22,22,3,,,,18,1,,,,,,,,,,6583050.00,299229.50,317000.00,75095.00,3300.00
2016-09-08,Vancouver Island/Coast,STRATHCONA,,21,21,,,,,18,2,,1,,,,,,,,5408778.00,257560.80,267500.00,60299.55,3118.00
2016-09-15,Vancouver Island/Coast,STRATHCONA,,32,32,2,1,,,22,5,,2,,,,,,,,8836350.00,276135.90,286000.00,104270.00,3055.00
2016-09-22,Vancouver Island/Coast,STRATHCONA,,84,81,2,2,,,43,13,,21,2,2,,,1,,,24554343.00,292313.60,265000.00,331741.36,3250.00
2016-10-01,Vancouver Island/Coast,STRATHCONA,,35,34,,,,,30,3,,1,,,,,1,,,8956767.00,255907.60,268900.00,117851.34,3378.00
2016-10-08,Vancouver Island/Coast,STRATHCONA,,20,18,1,,,,13,2,,2,1,1,,,1,,,6062659.00,303133.00,304700.00,75399.59,3700.00
2016-10-15,Vancouver Island/Coast,STRATHCONA,,28,27,1,,,,23,3,,,,,,,1,,,9194350.00,328369.60,276000.00,123570.50,3300.00
2016-10-22,Vancouver Island/Coast,STRATHCONA,,61,60,1,1,,,26,4,,28,,,,,1,,,17679000.00,289819.70,286000.00,220558.00,3396.00
