"","Local Health Area","Year","Total Households"
"18","Golden","2026","3249"
"18","Golden","2027","3262"
"18","Golden","2028","3279"
"18","Golden","2029","3294"
"18","Golden","2030","3302"
"18","Golden","2031","3313"
"18","Golden","2032","3320"
"18","Golden","2033","3331"
"18","Golden","2034","3336"
"18","Golden","2035","3342"
"18","Golden","2036","3346"
"18","Golden","2037","3349"
"18","Golden","2038","3351"
"18","Golden","2039","3353"
"18","Golden","2040","3352"
"18","Golden","2041","3352"
"19","Revelstoke","1986","3409"
"19","Revelstoke","1987","3282"
"19","Revelstoke","1988","3170"
"19","Revelstoke","1989","3159"
"19","Revelstoke","1990","3190"
"19","Revelstoke","1991","3210"
"19","Revelstoke","1992","3238"
"19","Revelstoke","1993","3293"
"19","Revelstoke","1994","3355"
"19","Revelstoke","1995","3423"
"19","Revelstoke","1996","3506"
"19","Revelstoke","1997","3491"
"19","Revelstoke","1998","3387"
"19","Revelstoke","1999","3317"
"19","Revelstoke","2000","3311"
"19","Revelstoke","2001","3359"
"19","Revelstoke","2002","3410"
"19","Revelstoke","2003","3378"
"19","Revelstoke","2004","3373"
"19","Revelstoke","2005","3353"
"19","Revelstoke","2006","3059"
"19","Revelstoke","2007","3090"
"19","Revelstoke","2008","3137"
"19","Revelstoke","2009","3189"
"19","Revelstoke","2010","3233"
"19","Revelstoke","2011","3346"
"19","Revelstoke","2012","3262"
"19","Revelstoke","2013","3299"
"19","Revelstoke","2014","3336"
"19","Revelstoke","2015","3348"
"19","Revelstoke","2016","3377"
"19","Revelstoke","2017","3409"
"19","Revelstoke","2018","3443"
"19","Revelstoke","2019","3465"
"19","Revelstoke","2020","3471"
"19","Revelstoke","2021","3494"
"19","Revelstoke","2022","3502"
"19","Revelstoke","2023","3532"
"19","Revelstoke","2024","3552"
"19","Revelstoke","2025","3563"
"19","Revelstoke","2026","3573"
"19","Revelstoke","2027","3591"
"19","Revelstoke","2028","3604"
"19","Revelstoke","2029","3621"
"19","Revelstoke","2030","3642"
"19","Revelstoke","2031","3666"
"19","Revelstoke","2032","3686"
"19","Revelstoke","2033","3700"
"19","Revelstoke","2034","3714"
"19","Revelstoke","2035","3731"
"19","Revelstoke","2036","3750"
"19","Revelstoke","2037","3769"
"19","Revelstoke","2038","3787"
"19","Revelstoke","2039","3805"
"19","Revelstoke","2040","3824"
"19","Revelstoke","2041","3843"
"20","Salmon Arm","1986","8950"
"20","Salmon Arm","1987","8919"
"20","Salmon Arm","1988","8994"
"20","Salmon Arm","1989","9151"
"20","Salmon Arm","1990","9376"
"20","Salmon Arm","1991","9676"
"20","Salmon Arm","1992","9972"
"20","Salmon Arm","1993","10441"
"20","Salmon Arm","1994","11149"
"20","Salmon Arm","1995","11678"
"20","Salmon Arm","1996","12087"
"20","Salmon Arm","1997","12281"
"20","Salmon Arm","1998","12444"
"20","Salmon Arm","1999","12487"
"20","Salmon Arm","2000","12514"
"20","Salmon Arm","2001","12652"
"20","Salmon Arm","2002","12729"
"20","Salmon Arm","2003","12769"
"20","Salmon Arm","2004","12995"
"20","Salmon Arm","2005","13167"
"20","Salmon Arm","2006","13223"
"20","Salmon Arm","2007","13523"
"20","Salmon Arm","2008","14040"
"20","Salmon Arm","2009","14251"
"20","Salmon Arm","2010","14249"
"20","Salmon Arm","2011","14415"
"20","Salmon Arm","2012","14418"
"20","Salmon Arm","2013","14497"
"20","Salmon Arm","2014","14923"
"20","Salmon Arm","2015","15027"
"20","Salmon Arm","2016","15293"
"20","Salmon Arm","2017","15442"
"20","Salmon Arm","2018","15569"
"20","Salmon Arm","2019","15683"
"20","Salmon Arm","2020","15782"
"20","Salmon Arm","2021","15885"
"20","Salmon Arm","2022","15959"
"20","Salmon Arm","2023","16046"
"20","Salmon Arm","2024","16139"
"20","Salmon Arm","2025","16227"
"20","Salmon Arm","2026","16330"
"20","Salmon Arm","2027","16406"
"20","Salmon Arm","2028","16478"
"20","Salmon Arm","2029","16560"
"20","Salmon Arm","2030","16636"
"20","Salmon Arm","2031","16718"
"20","Salmon Arm","2032","16805"
"20","Salmon Arm","2033","16900"
"20","Salmon Arm","2034","16990"
"20","Salmon Arm","2035","17087"
"20","Salmon Arm","2036","17182"
"20","Salmon Arm","2037","17273"
"20","Salmon Arm","2038","17364"
"20","Salmon Arm","2039","17449"
"20","Salmon Arm","2040","17534"
"20","Salmon Arm","2041","17620"
"21","Armstrong - Spallumcheen","1986","2543"
"21","Armstrong - Spallumcheen","1987","2598"
"21","Armstrong - Spallumcheen","1988","2616"
"21","Armstrong - Spallumcheen","1989","2656"
"21","Armstrong - Spallumcheen","1990","2759"
"21","Armstrong - Spallumcheen","1991","2888"
"21","Armstrong - Spallumcheen","1992","3002"
"21","Armstrong - Spallumcheen","1993","3138"
"21","Armstrong - Spallumcheen","1994","3252"
"21","Armstrong - Spallumcheen","1995","3385"
"21","Armstrong - Spallumcheen","1996","3497"
"21","Armstrong - Spallumcheen","1997","3544"
"21","Armstrong - Spallumcheen","1998","3573"
"21","Armstrong - Spallumcheen","1999","3586"
"21","Armstrong - Spallumcheen","2000","3606"
"21","Armstrong - Spallumcheen","2001","3617"
"21","Armstrong - Spallumcheen","2002","3669"
"21","Armstrong - Spallumcheen","2003","3633"
"21","Armstrong - Spallumcheen","2004","3693"
"21","Armstrong - Spallumcheen","2005","3681"
"21","Armstrong - Spallumcheen","2006","3641"
"21","Armstrong - Spallumcheen","2007","3681"
"21","Armstrong - Spallumcheen","2008","3803"
"21","Armstrong - Spallumcheen","2009","3922"
"21","Armstrong - Spallumcheen","2010","3962"
"21","Armstrong - Spallumcheen","2011","3982"
"21","Armstrong - Spallumcheen","2012","4049"
"21","Armstrong - Spallumcheen","2013","4080"
"21","Armstrong - Spallumcheen","2014","4140"
"21","Armstrong - Spallumcheen","2015","4233"
"21","Armstrong - Spallumcheen","2016","4316"
"21","Armstrong - Spallumcheen","2017","4364"
"21","Armstrong - Spallumcheen","2018","4404"
"21","Armstrong - Spallumcheen","2019","4433"
"21","Armstrong - Spallumcheen","2020","4475"
"21","Armstrong - Spallumcheen","2021","4512"
"21","Armstrong - Spallumcheen","2022","4536"
"21","Armstrong - Spallumcheen","2023","4563"
"21","Armstrong - Spallumcheen","2024","4590"
"21","Armstrong - Spallumcheen","2025","4617"
"21","Armstrong - Spallumcheen","2026","4647"
"21","Armstrong - Spallumcheen","2027","4684"
"21","Armstrong - Spallumcheen","2028","4717"
"21","Armstrong - Spallumcheen","2029","4745"
"21","Armstrong - Spallumcheen","2030","4775"
"21","Armstrong - Spallumcheen","2031","4806"
"21","Armstrong - Spallumcheen","2032","4840"
"21","Armstrong - Spallumcheen","2033","4877"
"21","Armstrong - Spallumcheen","2034","4914"
"21","Armstrong - Spallumcheen","2035","4957"
"21","Armstrong - Spallumcheen","2036","5002"
"21","Armstrong - Spallumcheen","2037","5046"
"21","Armstrong - Spallumcheen","2038","5090"
"21","Armstrong - Spallumcheen","2039","5134"
"21","Armstrong - Spallumcheen","2040","5177"
"21","Armstrong - Spallumcheen","2041","5221"
"22","Vernon","1986","17094"
"22","Vernon","1987","17311"
"22","Vernon","1988","17609"
"22","Vernon","1989","17853"
"22","Vernon","1990","18396"
"22","Vernon","1991","18921"
"22","Vernon","1992","19625"
"22","Vernon","1993","20482"
"22","Vernon","1994","21439"
"22","Vernon","1995","21869"
"22","Vernon","1996","22448"
"22","Vernon","1997","22952"
"22","Vernon","1998","23089"
"22","Vernon","1999","23209"
"22","Vernon","2000","23680"
"22","Vernon","2001","24070"
"22","Vernon","2002","24257"
"22","Vernon","2003","24408"
"22","Vernon","2004","24611"
"22","Vernon","2005","24995"
"22","Vernon","2006","24967"
"22","Vernon","2007","25478"
"22","Vernon","2008","26158"
"22","Vernon","2009","26744"
"22","Vernon","2010","26794"
"22","Vernon","2011","27098"
"22","Vernon","2012","27137"
"22","Vernon","2013","27378"
"22","Vernon","2014","27987"
"22","Vernon","2015","28863"
"22","Vernon","2016","29357"
"22","Vernon","2017","29703"
"22","Vernon","2018","30043"
"22","Vernon","2019","30338"
"22","Vernon","2020","30631"
"22","Vernon","2021","30909"
"22","Vernon","2022","31215"
"22","Vernon","2023","31493"
"22","Vernon","2024","31750"
"22","Vernon","2025","32007"
"22","Vernon","2026","32250"
"22","Vernon","2027","32506"
"22","Vernon","2028","32757"
"22","Vernon","2029","33016"
"22","Vernon","2030","33285"
"22","Vernon","2031","33551"
"22","Vernon","2032","33796"
"22","Vernon","2033","34050"
"22","Vernon","2034","34293"
"22","Vernon","2035","34528"
"22","Vernon","2036","34755"
"22","Vernon","2037","34973"
"22","Vernon","2038","35183"
"22","Vernon","2039","35386"
"22","Vernon","2040","35583"
"22","Vernon","2041","35774"
"23","Central Okanagan","1986","36437"
"23","Central Okanagan","1987","37254"
"23","Central Okanagan","1988","38313"
"23","Central Okanagan","1989","39896"
"23","Central Okanagan","1990","42327"
"23","Central Okanagan","1991","44537"
"23","Central Okanagan","1992","47543"
"23","Central Okanagan","1993","50371"
"23","Central Okanagan","1994","52389"
"23","Central Okanagan","1995","54130"
"23","Central Okanagan","1996","55788"
"23","Central Okanagan","1997","57635"
"23","Central Okanagan","1998","59125"
"23","Central Okanagan","1999","60057"
"23","Central Okanagan","2000","61077"
"23","Central Okanagan","2001","62434"
"23","Central Okanagan","2002","63609"
"23","Central Okanagan","2003","64738"
"23","Central Okanagan","2004","65239"
"23","Central Okanagan","2005","66736"
"23","Central Okanagan","2006","69051"
"23","Central Okanagan","2007","71368"
"23","Central Okanagan","2008","73872"
"23","Central Okanagan","2009","75519"
"23","Central Okanagan","2010","75675"
"23","Central Okanagan","2011","76357"
"23","Central Okanagan","2012","77273"
"23","Central Okanagan","2013","77947"
"23","Central Okanagan","2014","79801"
"23","Central Okanagan","2015","82682"
"23","Central Okanagan","2016","84376"
"23","Central Okanagan","2017","85952"
"23","Central Okanagan","2018","87478"
"23","Central Okanagan","2019","88987"
"23","Central Okanagan","2020","90475"
"23","Central Okanagan","2021","91982"
"23","Central Okanagan","2022","93422"
"23","Central Okanagan","2023","94971"
"23","Central Okanagan","2024","96462"
"23","Central Okanagan","2025","97960"
"23","Central Okanagan","2026","99419"
"23","Central Okanagan","2027","100919"
"23","Central Okanagan","2028","102465"
"23","Central Okanagan","2029","104026"
"23","Central Okanagan","2030","105572"
"23","Central Okanagan","2031","107096"
"23","Central Okanagan","2032","108627"
"23","Central Okanagan","2033","110156"
"23","Central Okanagan","2034","111646"
"23","Central Okanagan","2035","113120"
"23","Central Okanagan","2036","114573"
"23","Central Okanagan","2037","116008"
"23","Central Okanagan","2038","117424"
"23","Central Okanagan","2039","118824"
"23","Central Okanagan","2040","120210"
"23","Central Okanagan","2041","121583"
"24","Kamloops","1986","29482"
"24","Kamloops","1987","29861"
"24","Kamloops","1988","30224"
"24","Kamloops","1989","30723"
"24","Kamloops","1990","31556"
"24","Kamloops","1991","32187"
"24","Kamloops","1992","32908"
"24","Kamloops","1993","34192"
"24","Kamloops","1994","35652"
"24","Kamloops","1995","36911"
"24","Kamloops","1996","38279"
"24","Kamloops","1997","39044"
"24","Kamloops","1998","39603"
"24","Kamloops","1999","39903"
"24","Kamloops","2000","40287"
"24","Kamloops","2001","40692"
"24","Kamloops","2002","41181"
"24","Kamloops","2003","41288"
"24","Kamloops","2004","41663"
"24","Kamloops","2005","42032"
"24","Kamloops","2006","41785"
"24","Kamloops","2007","42656"
"24","Kamloops","2008","44022"
"24","Kamloops","2009","44959"
"24","Kamloops","2010","45238"
"24","Kamloops","2011","45989"
"24","Kamloops","2012","46301"
"24","Kamloops","2013","46913"
"24","Kamloops","2014","47881"
"24","Kamloops","2015","48298"
"24","Kamloops","2016","49117"
"24","Kamloops","2017","49740"
"24","Kamloops","2018","50322"
"24","Kamloops","2019","50893"
"24","Kamloops","2020","51403"
"24","Kamloops","2021","51869"
"24","Kamloops","2022","52355"
"24","Kamloops","2023","52833"
"24","Kamloops","2024","53303"
"24","Kamloops","2025","53749"
"24","Kamloops","2026","54220"
"24","Kamloops","2027","54660"
"24","Kamloops","2028","55097"
"24","Kamloops","2029","55535"
"24","Kamloops","2030","55974"
"24","Kamloops","2031","56400"
"24","Kamloops","2032","56821"
"24","Kamloops","2033","57235"
"24","Kamloops","2034","57626"
"24","Kamloops","2035","58002"
"24","Kamloops","2036","58357"
"24","Kamloops","2037","58700"
"24","Kamloops","2038","59030"
"24","Kamloops","2039","59347"
"24","Kamloops","2040","59658"
"24","Kamloops","2041","59967"
"25","100 Mile House","1986","4095"
"25","100 Mile House","1987","4176"
"25","100 Mile House","1988","4190"
"25","100 Mile House","1989","4289"
"25","100 Mile House","1990","4547"
"25","100 Mile House","1991","4716"
"25","100 Mile House","1992","4809"
"25","100 Mile House","1993","5043"
"25","100 Mile House","1994","5324"
"25","100 Mile House","1995","5617"
"25","100 Mile House","1996","5865"
"25","100 Mile House","1997","5985"
"25","100 Mile House","1998","5951"
"25","100 Mile House","1999","5927"
"25","100 Mile House","2000","5873"
"25","100 Mile House","2001","5830"
"25","100 Mile House","2002","6121"
"25","100 Mile House","2003","6055"
"25","100 Mile House","2004","6076"
"25","100 Mile House","2005","6044"
"25","100 Mile House","2006","6046"
"25","100 Mile House","2007","6023"
"25","100 Mile House","2008","6061"
"25","100 Mile House","2009","6071"
"25","100 Mile House","2010","6049"
"25","100 Mile House","2011","6032"
"25","100 Mile House","2012","6076"
"25","100 Mile House","2013","6174"
"25","100 Mile House","2014","6289"
"25","100 Mile House","2015","6339"
"25","100 Mile House","2016","6398"
"25","100 Mile House","2017","6411"
"25","100 Mile House","2018","6385"
"25","100 Mile House","2019","6362"
"25","100 Mile House","2020","6344"
"25","100 Mile House","2021","6305"
"25","100 Mile House","2022","6237"
"25","100 Mile House","2023","6186"
"25","100 Mile House","2024","6127"
"25","100 Mile House","2025","6060"
"25","100 Mile House","2026","5986"
"25","100 Mile House","2027","5916"
"25","100 Mile House","2028","5844"
"25","100 Mile House","2029","5773"
"25","100 Mile House","2030","5701"
"25","100 Mile House","2031","5630"
"25","100 Mile House","2032","5563"
"25","100 Mile House","2033","5499"
"25","100 Mile House","2034","5439"
"25","100 Mile House","2035","5381"
"25","100 Mile House","2036","5332"
"25","100 Mile House","2037","5281"
"25","100 Mile House","2038","5230"
"25","100 Mile House","2039","5179"
"25","100 Mile House","2040","5128"
"25","100 Mile House","2041","5078"
"26","North Thompson","1986","1681"
"26","North Thompson","1987","1677"
"26","North Thompson","1988","1622"
"26","North Thompson","1989","1589"
"26","North Thompson","1990","1625"
"26","North Thompson","1991","1626"
"26","North Thompson","1992","1613"
"26","North Thompson","1993","1662"
"26","North Thompson","1994","1697"
"26","North Thompson","1995","1775"
"26","North Thompson","1996","1819"
"26","North Thompson","1997","1863"
"26","North Thompson","1998","1869"
"26","North Thompson","1999","1862"
"26","North Thompson","2000","1895"
"26","North Thompson","2001","1913"
"26","North Thompson","2002","1897"
"26","North Thompson","2003","1861"
"26","North Thompson","2004","1859"
"26","North Thompson","2005","1816"
"26","North Thompson","2006","1753"
"26","North Thompson","2007","1779"
"26","North Thompson","2008","1805"
"26","North Thompson","2009","1833"
"26","North Thompson","2010","1827"
"26","North Thompson","2011","1832"
"26","North Thompson","2012","1872"
"26","North Thompson","2013","1899"
"26","North Thompson","2014","1948"
"26","North Thompson","2015","1942"
"26","North Thompson","2016","1966"
"26","North Thompson","2017","1969"
"26","North Thompson","2018","1981"
"26","North Thompson","2019","1993"
"26","North Thompson","2020","2005"
"26","North Thompson","2021","2004"
"26","North Thompson","2022","2016"
"26","North Thompson","2023","2024"
"26","North Thompson","2024","2034"
"26","North Thompson","2025","2044"
"26","North Thompson","2026","2041"
"26","North Thompson","2027","2044"
"26","North Thompson","2028","2041"
"26","North Thompson","2029","2036"
"26","North Thompson","2030","2024"
"26","North Thompson","2031","2012"
"26","North Thompson","2032","2003"
"26","North Thompson","2033","1995"
"26","North Thompson","2034","1986"
"26","North Thompson","2035","1976"
"26","North Thompson","2036","1964"
"26","North Thompson","2037","1951"
"26","North Thompson","2038","1938"
"26","North Thompson","2039","1924"
"26","North Thompson","2040","1910"
"26","North Thompson","2041","1895"
"27","Cariboo - Chilcotin","1986","8721"
"27","Cariboo - Chilcotin","1987","8733"
"27","Cariboo - Chilcotin","1988","8754"
"27","Cariboo - Chilcotin","1989","8673"
"27","Cariboo - Chilcotin","1990","8722"
"27","Cariboo - Chilcotin","1991","8817"
"27","Cariboo - Chilcotin","1992","8905"
"27","Cariboo - Chilcotin","1993","9112"
"27","Cariboo - Chilcotin","1994","9307"
"27","Cariboo - Chilcotin","1995","9653"
"27","Cariboo - Chilcotin","1996","9983"
"27","Cariboo - Chilcotin","1997","10198"
"27","Cariboo - Chilcotin","1998","10229"
"27","Cariboo - Chilcotin","1999","10264"
"27","Cariboo - Chilcotin","2000","10345"
"27","Cariboo - Chilcotin","2001","10435"
"27","Cariboo - Chilcotin","2002","10180"
"27","Cariboo - Chilcotin","2003","10136"
"27","Cariboo - Chilcotin","2004","10285"
"27","Cariboo - Chilcotin","2005","10252"
"27","Cariboo - Chilcotin","2006","10156"
"27","Cariboo - Chilcotin","2007","10155"
"27","Cariboo - Chilcotin","2008","10346"
"27","Cariboo - Chilcotin","2009","10417"
"27","Cariboo - Chilcotin","2010","10448"
"27","Cariboo - Chilcotin","2011","10551"
"27","Cariboo - Chilcotin","2012","10517"
"27","Cariboo - Chilcotin","2013","10592"
"27","Cariboo - Chilcotin","2014","10742"
"27","Cariboo - Chilcotin","2015","10877"
"27","Cariboo - Chilcotin","2016","11000"
"27","Cariboo - Chilcotin","2017","11110"
"27","Cariboo - Chilcotin","2018","11224"
"27","Cariboo - Chilcotin","2019","11323"
"27","Cariboo - Chilcotin","2020","11407"
"27","Cariboo - Chilcotin","2021","11491"
"27","Cariboo - Chilcotin","2022","11573"
"27","Cariboo - Chilcotin","2023","11644"
"27","Cariboo - Chilcotin","2024","11696"
"27","Cariboo - Chilcotin","2025","11750"
"27","Cariboo - Chilcotin","2026","11818"
"27","Cariboo - Chilcotin","2027","11874"
"27","Cariboo - Chilcotin","2028","11918"
"27","Cariboo - Chilcotin","2029","11957"
"27","Cariboo - Chilcotin","2030","11979"
"27","Cariboo - Chilcotin","2031","12001"
"27","Cariboo - Chilcotin","2032","12022"
"27","Cariboo - Chilcotin","2033","12044"
"27","Cariboo - Chilcotin","2034","12062"
"27","Cariboo - Chilcotin","2035","12079"
"27","Cariboo - Chilcotin","2036","12090"
"27","Cariboo - Chilcotin","2037","12097"
"27","Cariboo - Chilcotin","2038","12103"
"27","Cariboo - Chilcotin","2039","12105"
"27","Cariboo - Chilcotin","2040","12106"
"27","Cariboo - Chilcotin","2041","12105"
"28","Quesnel","1986","8221"
"28","Quesnel","1987","8335"
"28","Quesnel","1988","8335"
"28","Quesnel","1989","8301"
"28","Quesnel","1990","8428"
"28","Quesnel","1991","8408"
"28","Quesnel","1992","8408"
"28","Quesnel","1993","8574"
"28","Quesnel","1994","8877"
"28","Quesnel","1995","9165"
"28","Quesnel","1996","9572"
"28","Quesnel","1997","9804"
"28","Quesnel","1998","9792"
"28","Quesnel","1999","9645"
"28","Quesnel","2000","9657"
"28","Quesnel","2001","9617"
"28","Quesnel","2002","9393"
"28","Quesnel","2003","9294"
"28","Quesnel","2004","9338"
"28","Quesnel","2005","9283"
"28","Quesnel","2006","9268"
"28","Quesnel","2007","9341"
"28","Quesnel","2008","9553"
"28","Quesnel","2009","9703"
"28","Quesnel","2010","9819"
"28","Quesnel","2011","10042"
"28","Quesnel","2012","10051"
"28","Quesnel","2013","10045"
"28","Quesnel","2014","10187"
"28","Quesnel","2015","9978"
"28","Quesnel","2016","10107"
"28","Quesnel","2017","10224"
"28","Quesnel","2018","10277"
"28","Quesnel","2019","10341"
"28","Quesnel","2020","10391"
"28","Quesnel","2021","10416"
"28","Quesnel","2022","10453"
"28","Quesnel","2023","10456"
"28","Quesnel","2024","10486"
"28","Quesnel","2025","10518"
"28","Quesnel","2026","10530"
"28","Quesnel","2027","10549"
"28","Quesnel","2028","10550"
"28","Quesnel","2029","10558"
"28","Quesnel","2030","10559"
"28","Quesnel","2031","10551"
"28","Quesnel","2032","10551"
"28","Quesnel","2033","10554"
"28","Quesnel","2034","10557"
"28","Quesnel","2035","10562"
"28","Quesnel","2036","10567"
"28","Quesnel","2037","10569"
"28","Quesnel","2038","10570"
"28","Quesnel","2039","10569"
"28","Quesnel","2040","10568"
"28","Quesnel","2041","10567"
"29","Lillooet","1986","1706"
"29","Lillooet","1987","1655"
"29","Lillooet","1988","1608"
"29","Lillooet","1989","1655"
"29","Lillooet","1990","1677"
"29","Lillooet","1991","1654"
"29","Lillooet","1992","1693"
"29","Lillooet","1993","1763"
"29","Lillooet","1994","1774"
"29","Lillooet","1995","1822"
"29","Lillooet","1996","1854"
"29","Lillooet","1997","1867"
"29","Lillooet","1998","1782"
"29","Lillooet","1999","1738"
"29","Lillooet","2000","1728"
"29","Lillooet","2001","1764"
"29","Lillooet","2002","1762"
"29","Lillooet","2003","1782"
"29","Lillooet","2004","1848"
"29","Lillooet","2005","1824"
"29","Lillooet","2006","1823"
"29","Lillooet","2007","1806"
"29","Lillooet","2008","1826"
"29","Lillooet","2009","1830"
"29","Lillooet","2010","1827"
"29","Lillooet","2011","1853"
"29","Lillooet","2012","1901"
"29","Lillooet","2013","1895"
"29","Lillooet","2014","1878"
"29","Lillooet","2015","1882"
"29","Lillooet","2016","1880"
"29","Lillooet","2017","1887"
"29","Lillooet","2018","1881"
"29","Lillooet","2019","1885"
"29","Lillooet","2020","1882"
"29","Lillooet","2021","1883"
"29","Lillooet","2022","1882"
"29","Lillooet","2023","1881"
"29","Lillooet","2024","1883"
"29","Lillooet","2025","1890"
"29","Lillooet","2026","1898"
"29","Lillooet","2027","1891"
"29","Lillooet","2028","1890"
"29","Lillooet","2029","1890"
"29","Lillooet","2030","1892"
"29","Lillooet","2031","1889"
"29","Lillooet","2032","1891"
"29","Lillooet","2033","1890"
"29","Lillooet","2034","1890"
"29","Lillooet","2035","1894"
"29","Lillooet","2036","1893"
"29","Lillooet","2037","1891"
"29","Lillooet","2038","1889"
"29","Lillooet","2039","1888"
"29","Lillooet","2040","1886"
"29","Lillooet","2041","1883"
"30","South Cariboo","1986","2640"
"30","South Cariboo","1987","2543"
"30","South Cariboo","1988","2483"
"30","South Cariboo","1989","2465"
"30","South Cariboo","1990","2437"
"30","South Cariboo","1991","2433"
"30","South Cariboo","1992","2509"
"30","South Cariboo","1993","2568"
"30","South Cariboo","1994","2744"
"30","South Cariboo","1995","2864"
"30","South Cariboo","1996","2986"
"30","South Cariboo","1997","3006"
"30","South Cariboo","1998","2899"
"30","South Cariboo","1999","2857"
"30","South Cariboo","2000","2845"
"30","South Cariboo","2001","2868"
"30","South Cariboo","2002","2892"
"30","South Cariboo","2003","2902"
"30","South Cariboo","2004","2999"
"30","South Cariboo","2005","2991"
"30","South Cariboo","2006","2818"
"30","South Cariboo","2007","2864"
"30","South Cariboo","2008","2951"
"30","South Cariboo","2009","3009"
"30","South Cariboo","2010","3005"
"30","South Cariboo","2011","3045"
"30","South Cariboo","2012","3059"
"30","South Cariboo","2013","3081"
"30","South Cariboo","2014","3136"
"30","South Cariboo","2015","3080"
"30","South Cariboo","2016","3103"
"30","South Cariboo","2017","3098"
"30","South Cariboo","2018","3101"
"30","South Cariboo","2019","3098"
"30","South Cariboo","2020","3094"
"30","South Cariboo","2021","3086"
"30","South Cariboo","2022","3074"
"30","South Cariboo","2023","3062"
"30","South Cariboo","2024","3062"
"30","South Cariboo","2025","3055"
"30","South Cariboo","2026","3042"
"30","South Cariboo","2027","3034"
"30","South Cariboo","2028","3007"
"30","South Cariboo","2029","2985"
"30","South Cariboo","2030","2962"
"30","South Cariboo","2031","2931"
"30","South Cariboo","2032","2910"
"30","South Cariboo","2033","2881"
"30","South Cariboo","2034","2857"
"30","South Cariboo","2035","2834"
"30","South Cariboo","2036","2815"
"30","South Cariboo","2037","2795"
"30","South Cariboo","2038","2775"
"30","South Cariboo","2039","2754"
"30","South Cariboo","2040","2733"
"30","South Cariboo","2041","2712"
"31","Merritt","1986","3525"
"31","Merritt","1987","3552"
"31","Merritt","1988","3548"
"31","Merritt","1989","3575"
"31","Merritt","1990","3620"
"31","Merritt","1991","3717"
"31","Merritt","1992","3784"
"31","Merritt","1993","3909"
"31","Merritt","1994","3958"
"31","Merritt","1995","4131"
"31","Merritt","1996","4234"
"31","Merritt","1997","4256"
"31","Merritt","1998","4249"
"31","Merritt","1999","4234"
"31","Merritt","2000","4201"
"31","Merritt","2001","4294"
"31","Merritt","2002","4383"
"31","Merritt","2003","4399"
"31","Merritt","2004","4478"
"31","Merritt","2005","4503"
"31","Merritt","2006","4504"
"31","Merritt","2007","4513"
"31","Merritt","2008","4548"
"31","Merritt","2009","4565"
"31","Merritt","2010","4590"
"31","Merritt","2011","4561"
"31","Merritt","2012","4622"
"31","Merritt","2013","4697"
"31","Merritt","2014","4822"
"31","Merritt","2015","4864"
"31","Merritt","2016","4923"
"31","Merritt","2017","4968"
"31","Merritt","2018","4991"
"31","Merritt","2019","5009"
"31","Merritt","2020","5035"
"31","Merritt","2021","5064"
"31","Merritt","2022","5094"
"31","Merritt","2023","5113"
"31","Merritt","2024","5135"
"31","Merritt","2025","5181"
"31","Merritt","2026","5209"
"31","Merritt","2027","5249"
"31","Merritt","2028","5270"
"31","Merritt","2029","5291"
"31","Merritt","2030","5312"
"31","Merritt","2031","5337"
"31","Merritt","2032","5360"
"31","Merritt","2033","5378"
"31","Merritt","2034","5397"
"31","Merritt","2035","5411"
"31","Merritt","2036","5426"
"31","Merritt","2037","5441"
"31","Merritt","2038","5454"
"31","Merritt","2039","5467"
"31","Merritt","2040","5481"
"31","Merritt","2041","5493"
"32","Hope","1986","2767"
"32","Hope","1987","2739"
"32","Hope","1988","2781"
"32","Hope","1989","2816"
"32","Hope","1990","2901"
"32","Hope","1991","2917"
"32","Hope","1992","2987"
"32","Hope","1993","3107"
"32","Hope","1994","3205"
"32","Hope","1995","3315"
"32","Hope","1996","3398"
"32","Hope","1997","3387"
"32","Hope","1998","3330"
"32","Hope","1999","3274"
"32","Hope","2000","3232"
"32","Hope","2001","3308"
"32","Hope","2002","3262"
"32","Hope","2003","3290"
"32","Hope","2004","3337"
"32","Hope","2005","3375"
"32","Hope","2006","3465"
"32","Hope","2007","3400"
"32","Hope","2008","3412"
"32","Hope","2009","3426"
"32","Hope","2010","3415"
"32","Hope","2011","3344"
"32","Hope","2012","3329"
"32","Hope","2013","3336"
"32","Hope","2014","3348"
"32","Hope","2015","3367"
"32","Hope","2016","3408"
"32","Hope","2017","3410"
"32","Hope","2018","3418"
"32","Hope","2019","3422"
"32","Hope","2020","3409"
"32","Hope","2021","3407"
"32","Hope","2022","3406"
"32","Hope","2023","3399"
"32","Hope","2024","3397"
"32","Hope","2025","3386"
"32","Hope","2026","3385"
"32","Hope","2027","3376"
"32","Hope","2028","3368"
"32","Hope","2029","3360"
"32","Hope","2030","3343"
"32","Hope","2031","3329"
"32","Hope","2032","3323"
"32","Hope","2033","3314"
"32","Hope","2034","3303"
"32","Hope","2035","3288"
"32","Hope","2036","3277"
"32","Hope","2037","3267"
"32","Hope","2038","3254"
"32","Hope","2039","3240"
"32","Hope","2040","3225"
"32","Hope","2041","3209"
"33","Chilliwack","1986","17876"
"33","Chilliwack","1987","18214"
"33","Chilliwack","1988","18689"
"33","Chilliwack","1989","19237"
"33","Chilliwack","1990","20324"
"33","Chilliwack","1991","21104"
"33","Chilliwack","1992","21990"
"33","Chilliwack","1993","23130"
"33","Chilliwack","1994","24249"
"33","Chilliwack","1995","25079"
"33","Chilliwack","1996","25940"
"33","Chilliwack","1997","26373"
